C928  4C 2F C9            A:69 X:00 Y:00 SR:2F SP:FB CYC:546
C92F  EA                  A:69 X:00 Y:00 SR:2F SP:FB CYC:549
C930  38                  A:69 X:00 Y:00 SR:2F SP:FB CYC:551
C931  F8                  A:69 X:00 Y:00 SR:2F SP:FB CYC:553
C932  24 01               A:69 X:00 Y:00 SR:2F SP:FB CYC:555
C934  A9 01               A:69 X:00 Y:00 SR:ED SP:FB CYC:558
C936  69 69               A:01 X:00 Y:00 SR:6D SP:FB CYC:560
C938  30 0B               A:6B X:00 Y:00 SR:2C SP:FB CYC:562
C93A  B0 09               A:6B X:00 Y:00 SR:2C SP:FB CYC:564
C93C  C9 6B               A:6B X:00 Y:00 SR:2C SP:FB CYC:566
C93E  D0 05               A:6B X:00 Y:00 SR:2F SP:FB CYC:568
C940  70 03               A:6B X:00 Y:00 SR:2F SP:FB CYC:570
C942  4C 49 C9            A:6B X:00 Y:00 SR:2F SP:FB CYC:572
C949  EA                  A:6B X:00 Y:00 SR:2F SP:FB CYC:575
C94A  D8                  A:6B X:00 Y:00 SR:2F SP:FB CYC:577
C94B  38                  A:6B X:00 Y:00 SR:27 SP:FB CYC:579
C94C  B8                  A:6B X:00 Y:00 SR:27 SP:FB CYC:581
C94D  A9 7F               A:6B X:00 Y:00 SR:27 SP:FB CYC:583
C94F  69 7F               A:7F X:00 Y:00 SR:25 SP:FB CYC:585
C951  10 0B               A:FF X:00 Y:00 SR:E4 SP:FB CYC:587
C953  B0 09               A:FF X:00 Y:00 SR:E4 SP:FB CYC:589
C955  C9 FF               A:FF X:00 Y:00 SR:E4 SP:FB CYC:591
C957  D0 05               A:FF X:00 Y:00 SR:67 SP:FB CYC:593
C959  50 03               A:FF X:00 Y:00 SR:67 SP:FB CYC:595
C95B  4C 62 C9            A:FF X:00 Y:00 SR:67 SP:FB CYC:597
C962  EA                  A:FF X:00 Y:00 SR:67 SP:FB CYC:600
C963  18                  A:FF X:00 Y:00 SR:67 SP:FB CYC:602
C964  24 01               A:FF X:00 Y:00 SR:66 SP:FB CYC:604
C966  A9 7F               A:FF X:00 Y:00 SR:E4 SP:FB CYC:607
C968  69 80               A:7F X:00 Y:00 SR:64 SP:FB CYC:609
C96A  10 0B               A:FF X:00 Y:00 SR:A4 SP:FB CYC:611
C96C  B0 09               A:FF X:00 Y:00 SR:A4 SP:FB CYC:613
C96E  C9 FF               A:FF X:00 Y:00 SR:A4 SP:FB CYC:615
C970  D0 05               A:FF X:00 Y:00 SR:27 SP:FB CYC:617
C972  70 03               A:FF X:00 Y:00 SR:27 SP:FB CYC:619
C974  4C 7B C9            A:FF X:00 Y:00 SR:27 SP:FB CYC:621
C97B  EA                  A:FF X:00 Y:00 SR:27 SP:FB CYC:624
